Actual_Label,Predicted_Label
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Positive
Positive,Negative
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Negative
Positive,Negative
Positive,Positive
Positive,Positive
Positive,Positive
Negative,Negative
Negative,Positive
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Positive
Negative,Negative
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Negative
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Negative
Negative,Negative
Negative,Negative
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
Negative,Positive
